txn_id,txn_day,merchant_id,amount,card_type,payment_method,country,device_id
t_0000320,0,m_002,46.98,visa,,US,d_9184
t_0000420,0,m_011,11.01,visa,,US,d_11325
t_0000575,0,m_000,23.99,visa,,US,d_15431
t_0000817,0,m_036,257.83,visa,,US,d_15081
t_0000957,0,m_033,62.67,mastercard,,GB,d_9014
t_0001407,0,m_023,108.34,amex,,US,d_14687
t_0001545,0,m_036,3.9,visa,,CA,d_9459
t_0001709,0,m_026,45.49,amex,,DE,d_16232
t_0002605,0,m_033,20.97,amex,,US,d_19112
t_0003038,0,m_032,18.91,mastercard,,GB,d_14829
t_0003233,0,m_032,7.06,amex,,GB,d_24535
t_0003319,0,m_015,7.25,amex,,US,d_6709
t_0003390,0,m_019,32.3,amex,,BR,d_9556
t_0003649,0,m_016,35.64,visa,,US,d_13362
t_0004339,0,m_009,40.38,mastercard,,US,d_13832
t_0004668,0,m_004,10.19,amex,,CA,d_14333
t_0004784,0,m_038,56.65,visa,,BR,d_23453
t_0004895,0,m_026,17.74,mastercard,,CA,d_10583
t_0004942,0,m_000,11.66,amex,,US,d_7744
t_0004965,0,m_023,15.58,mastercard,,BR,d_5326
t_0005071,0,m_036,37.11,amex,,US,d_5826
t_0005865,0,m_027,8.27,mastercard,,DE,d_17398
t_0005895,0,m_021,37.64,visa,,BR,d_19473
t_0006131,0,m_000,87.43,amex,,DE,d_873
t_0006448,0,m_019,37.42,amex,,US,d_3333
t_0006452,0,m_028,84.24,amex,,CA,d_10887
t_0006694,0,m_006,17.34,visa,,BR,d_3863
t_0006869,0,m_025,32.56,amex,,BR,d_22804
t_0007394,0,m_005,4.83,mastercard,,US,d_20964
t_0007721,0,m_011,11.55,amex,,US,d_22324
t_0007817,0,m_005,65.01,amex,,US,d_7797
t_0008009,0,m_027,55.34,visa,,DE,d_1956
t_0008382,0,m_029,89.36,visa,,GB,d_8340
t_0008548,0,m_025,22.88,mastercard,,BR,d_19513
t_0008582,0,m_000,54.2,mastercard,,BR,d_2295
t_0008761,0,m_011,21.4,visa,,US,d_20126
t_0009044,0,m_013,44.13,mastercard,,US,d_7035
t_0009186,0,m_008,42.6,amex,,GB,d_3787
t_0009202,0,m_015,152.15,visa,,DE,d_13838
t_0009400,0,m_007,35.3,mastercard,,US,d_24974
t_0009520,0,m_023,45.59,visa,,CA,d_2033
t_0009606,0,m_017,38.08,amex,,DE,d_2619
t_0009621,0,m_002,138.82,mastercard,,US,
t_0009794,0,m_020,55.51,mastercard,,US,d_21916
t_0010259,0,m_014,9.02,mastercard,,BR,d_14746
t_0010297,0,m_003,119.77,amex,,US,d_17724
t_0010336,0,m_022,68.58,amex,,CA,d_2513
t_0010517,0,m_037,39.09,visa,,US,d_11672
t_0010759,0,m_000,7.99,visa,,US,d_6338
t_0010936,0,m_025,58.75,amex,,DE,d_21623
t_0010970,0,m_006,124.05,amex,,US,d_24172
t_0011081,0,m_012,101.76,visa,,GB,d_2853
t_0011429,0,m_025,20.51,mastercard,,CA,d_10317
t_0011488,0,m_016,61.28,visa,,CA,d_254
t_0012023,0,m_029,6.96,amex,,US,d_7894
t_0012220,0,m_003,50.13,amex,,GB,d_22531
t_0012506,0,m_000,44.61,mastercard,,US,d_2591
t_0012528,0,m_024,105.12,mastercard,,GB,d_5988
t_0012564,0,m_013,19.07,visa,,DE,d_3680
t_0012579,0,m_035,91.66,visa,,US,d_22405
t_0012603,0,m_032,150.89,visa,,US,d_22779
t_0013084,0,m_000,35.84,amex,,US,d_17847
t_0013177,0,m_017,41.65,amex,,DE,d_17554
t_0013807,0,m_039,53.66,mastercard,,DE,d_6379
t_0014176,0,m_010,51.27,mastercard,,US,d_19560
t_0014578,0,m_039,21.7,amex,,CA,d_21195
t_0014705,0,m_027,20.66,amex,,US,d_18227
t_0014792,0,m_013,6.16,visa,,DE,d_10081
t_0015700,0,m_037,36.55,visa,,US,d_1373
t_0016557,0,m_020,21.9,visa,,GB,d_5632
t_0016662,0,m_000,13.38,amex,,US,d_19535
t_0017329,0,m_038,64.39,amex,,CA,d_6449
t_0017431,0,m_007,21.78,mastercard,,GB,d_20682
t_0017602,0,m_005,113.63,mastercard,,US,d_14688
t_0017656,0,m_031,30.55,visa,,US,d_12233
t_0017695,0,m_030,99.89,visa,,US,d_23558
t_0018055,0,m_022,224.64,mastercard,,DE,d_19754
t_0018239,0,m_032,60.75,visa,,CA,d_5810
t_0018499,0,m_032,13.38,mastercard,,BR,d_3563
t_0018523,0,m_018,108.31,mastercard,,US,d_16858
t_0019097,0,m_016,23.95,mastercard,,US,d_16679
t_0019098,0,m_038,4.61,mastercard,,US,d_5545
t_0019388,0,m_000,24.41,mastercard,,DE,d_721
t_0019449,0,m_014,16.09,visa,,US,
t_0019567,0,m_000,12.22,mastercard,,CA,d_4342
t_0019721,0,m_007,10.25,amex,,CA,d_19744
t_0019888,0,m_000,25.79,mastercard,,DE,d_22989
t_0020060,0,m_013,15.65,amex,,US,d_8615
t_0020097,0,m_006,58.38,amex,,US,d_9366
t_0020322,0,m_016,23.15,amex,,US,
t_0020326,0,m_038,38.66,visa,,BR,d_17252
t_0020412,0,m_001,23.61,mastercard,,US,d_4820
t_0020477,0,m_003,42.09,mastercard,,GB,d_16521
t_0020801,0,m_000,15.16,mastercard,,BR,d_8069
t_0020849,0,m_031,11.31,amex,,CA,d_12658
t_0022107,0,m_012,50.16,amex,,DE,d_21158
t_0022406,0,m_023,70.76,mastercard,,GB,d_9293
t_0022411,0,m_000,52.86,mastercard,,DE,d_13472
t_0022452,0,m_023,10.2,mastercard,,BR,d_1831
t_0022782,0,m_000,41.02,mastercard,,US,d_21976
t_0023311,0,m_000,77.34,amex,,BR,d_13693
t_0023902,0,m_032,5.45,mastercard,,US,d_7637
t_0023966,0,m_039,20.33,amex,,US,d_18784
t_0024059,0,m_023,10.49,mastercard,,US,d_13162
t_0024106,0,m_021,23.22,mastercard,,US,d_8026
t_0024207,0,m_019,15.51,mastercard,,US,d_1426
t_0024681,0,m_004,36.83,visa,,BR,d_14719
t_0024738,0,m_038,158.48,visa,,CA,d_15228
t_0024781,0,m_006,17.86,amex,,US,d_6207
t_0024848,0,m_013,111.94,mastercard,,GB,d_21265
t_0025162,0,m_000,17.43,mastercard,,US,d_11218
t_0025194,0,m_030,53.05,visa,,GB,d_22050
t_0025495,0,m_000,6.21,amex,,BR,d_6320
t_0025539,0,m_016,13.56,mastercard,,US,d_17208
t_0025838,0,m_003,9.81,visa,,BR,d_19132
t_0026039,0,m_000,22.8,amex,,CA,d_17241
t_0026077,0,m_000,38.82,visa,,BR,d_11783
t_0026203,0,m_013,25.48,visa,,US,d_2413
t_0026862,0,m_017,21.39,mastercard,,US,d_9949
t_0027051,0,m_005,234.87,amex,,CA,d_12320
t_0027065,0,m_038,24.34,mastercard,,US,d_22639
t_0027068,0,m_015,19.17,amex,,US,d_9508
t_0027590,0,m_000,32.24,mastercard,,US,d_24657
t_0027661,0,m_013,12.83,visa,,US,d_2969
t_0028221,0,m_036,20.03,mastercard,,US,d_9503
t_0028696,0,m_021,146.01,amex,,CA,d_8952
t_0028794,0,m_017,29.89,amex,,US,d_11758
t_0028836,0,m_007,132.67,mastercard,,GB,d_22400
t_0028919,0,m_020,16.37,amex,,US,d_11142
t_0028969,0,m_037,39.49,visa,,DE,d_1858
t_0028984,0,m_000,33.92,amex,,US,d_17932
t_0029172,0,m_009,18.78,mastercard,,DE,d_16175
t_0029499,0,m_000,111.67,amex,,CA,d_6582
t_0029531,0,m_022,11.86,mastercard,,US,d_8449
t_0029611,0,m_030,78.31,visa,,BR,d_3767
t_0029653,0,m_000,61.64,mastercard,,US,d_8826
t_0029917,0,m_003,20.82,mastercard,,US,d_6440
t_0029982,0,m_001,58.02,mastercard,,US,d_11276
t_0030495,0,m_024,73.36,visa,,US,d_12660
t_0030722,0,m_000,9.46,amex,,BR,d_7694
t_0030965,0,m_022,221.47,mastercard,,US,d_7977
t_0031613,0,m_000,135.62,amex,,US,d_6159
t_0031657,0,m_000,46.98,mastercard,,BR,d_14749
t_0031664,0,m_000,23.78,visa,,DE,d_4894
t_0031911,0,m_000,31.97,mastercard,,CA,d_1951
t_0032359,0,m_026,162.84,mastercard,,US,d_15473
t_0032460,0,m_038,31.83,visa,,BR,d_13168
t_0032661,0,m_010,12.3,mastercard,,US,d_24804
t_0032863,0,m_037,8.3,visa,,GB,d_2025
t_0032896,0,m_025,27.09,amex,,DE,d_13804
t_0032909,0,m_032,249.59,visa,,BR,d_12527
t_0032910,0,m_004,20.95,mastercard,,GB,d_15510
t_0033393,0,m_029,23.71,mastercard,,US,d_15543
t_0033543,0,m_003,12.44,amex,,CA,d_17785
t_0033583,0,m_000,8.19,visa,,BR,d_5764
t_0033876,0,m_000,15.43,mastercard,,BR,d_19112
t_0033971,0,m_010,34.03,amex,,US,d_21765
t_0034284,0,m_020,17.2,visa,,CA,d_5457
t_0034511,0,m_035,10.82,visa,,US,d_20225
t_0034952,0,m_003,98.31,mastercard,,BR,d_21026
t_0034999,0,m_000,2.37,mastercard,,GB,d_20477
t_0035269,0,m_013,19.14,amex,,DE,d_14603
t_0035499,0,m_000,21.33,amex,,CA,d_24187
t_0035639,0,m_002,55.03,amex,,US,d_24565
t_0035644,0,m_020,142.63,amex,,US,d_17533
t_0035764,0,m_028,27.08,visa,,US,d_18825
t_0035771,0,m_014,26.51,visa,,US,d_7535
t_0035903,0,m_008,74.05,visa,,US,d_12317
t_0036081,0,m_038,274.8,amex,,BR,d_3984
t_0036129,0,m_000,15.62,mastercard,,CA,d_14382
t_0036183,0,m_028,34.26,amex,,DE,d_4885
t_0036306,0,m_016,7.14,mastercard,,US,d_7840
t_0036540,0,m_028,14.24,mastercard,,BR,
t_0036601,0,m_000,120.27,amex,,US,d_2712
t_0036659,0,m_000,46.7,mastercard,,GB,d_13596
t_0036673,0,m_000,36.05,mastercard,,DE,d_19319
t_0036904,0,m_024,65.29,amex,,DE,d_11720
t_0036958,0,m_027,83.15,mastercard,,US,d_15144
t_0037337,0,m_007,31.3,visa,,DE,d_22095
t_0037392,0,m_026,38.88,amex,,BR,
t_0037569,0,m_006,39.66,visa,,US,d_6254
t_0037577,0,m_012,120.57,visa,,US,
t_0037986,0,m_000,187.7,amex,,BR,d_24110
t_0038139,0,m_009,82.44,visa,,US,d_21043
t_0038159,0,m_021,23.28,amex,,CA,d_6944
t_0038164,0,m_019,46.28,mastercard,,CA,d_12004
t_0038190,0,m_027,80.82,amex,,BR,d_17581
t_0038239,0,m_000,14.57,mastercard,,CA,d_15846
t_0038371,0,m_015,15.57,mastercard,,US,d_13497
t_0038561,0,m_023,127.69,amex,,US,d_971
t_0039330,0,m_013,79.8,mastercard,,US,d_694
t_0039417,0,m_000,67.94,mastercard,,US,d_18685
t_0039553,0,m_023,37.06,amex,,US,d_5404
t_0039661,0,m_029,63.71,mastercard,,DE,d_7889
t_0039719,0,m_024,11.98,visa,,US,d_19730
t_0040057,0,m_029,5.04,visa,,DE,d_23187
t_0040122,0,m_037,122.29,mastercard,,DE,d_13952
t_0040141,0,m_000,13.74,visa,,BR,d_1619
t_0040286,0,m_021,3.88,amex,,US,d_22607
t_0040488,0,m_036,83.18,amex,,BR,d_19764
t_0040517,0,m_035,46.02,mastercard,,US,d_4435
t_0040556,0,m_006,44.33,visa,,US,d_16948
t_0040600,0,m_011,6.46,mastercard,,US,d_9575
t_0040819,0,m_028,88.67,visa,,US,
t_0040977,0,m_033,15.33,visa,,US,d_13182
t_0040991,0,m_031,6.09,amex,,US,d_22585
t_0041017,0,m_000,75.38,visa,,GB,d_19467
t_0041057,0,m_025,872.08,amex,,DE,d_7280
t_0041458,0,m_000,18.34,mastercard,,US,d_20027
t_0041556,0,m_000,76.13,visa,,GB,d_6644
t_0041669,0,m_000,53.03,amex,,GB,d_19522
t_0041692,0,m_010,352.49,visa,,DE,d_7680
t_0041814,0,m_000,30.43,visa,,US,d_2158
t_0041837,0,m_000,35.04,amex,,GB,d_5612
t_0041844,0,m_028,5.86,visa,,CA,d_19063
t_0042100,0,m_010,17.65,visa,,US,d_2232
t_0042146,0,m_006,53.29,mastercard,,GB,d_5203
t_0042400,0,m_038,38.22,mastercard,,DE,d_21525
t_0042515,0,m_002,21.54,amex,,US,d_23859
t_0042622,0,m_035,19.4,visa,,US,d_4446
t_0042763,0,m_039,7.71,visa,,CA,d_21824
t_0042943,0,m_002,324.43,amex,,US,d_5956
t_0043816,0,m_006,30.6,visa,,US,
t_0043818,0,m_024,21.46,mastercard,,CA,d_9987
t_0043962,0,m_019,57.55,amex,,DE,d_5650
t_0044032,0,m_010,88.87,amex,,GB,d_19717
t_0044824,0,m_000,3.0,mastercard,,US,d_10323
t_0045425,0,m_024,27.96,visa,,DE,d_24457
t_0045546,0,m_000,180.29,visa,,US,d_6340
t_0045585,0,m_034,21.94,amex,,CA,d_24616
t_0046119,0,m_031,76.23,mastercard,,BR,d_16456
t_0046159,0,m_000,165.65,visa,,US,d_20647
t_0046160,0,m_000,56.89,amex,,BR,d_10616
t_0046210,0,m_024,40.47,amex,,DE,d_22161
t_0046668,0,m_000,78.45,mastercard,,CA,d_8924
t_0046818,0,m_022,11.61,mastercard,,US,d_22253
t_0046975,0,m_000,114.77,visa,,DE,d_2709
t_0047102,0,m_039,22.66,amex,,BR,d_24454
t_0047809,0,m_005,153.92,mastercard,,GB,d_16645
t_0048333,0,m_002,15.79,mastercard,,GB,d_15507
t_0048365,0,m_000,18.71,amex,,DE,d_1436
t_0048658,0,m_017,135.17,mastercard,,BR,d_20155
t_0048704,0,m_029,13.49,visa,,US,d_690
t_0048705,0,m_028,36.76,mastercard,,CA,d_5297
t_0049410,0,m_020,54.52,amex,,GB,d_13686
t_0049480,0,m_000,9.54,visa,,GB,d_6084
t_0049485,0,m_002,41.98,mastercard,,US,d_7077
t_0050134,0,m_012,221.37,mastercard,,US,d_17849
t_0050447,0,m_016,128.46,visa,,DE,d_19473
t_0050537,0,m_016,9.88,visa,,DE,d_8048
t_0050649,0,m_000,24.25,mastercard,,DE,d_10397
t_0050763,0,m_031,57.12,mastercard,,US,d_12701
t_0051063,0,m_032,14.38,mastercard,,US,d_20466
t_0051299,0,m_002,18.62,amex,,US,d_3452
t_0051695,0,m_032,69.36,visa,,BR,d_24283
t_0051769,0,m_010,41.45,mastercard,,CA,d_3665
t_0052094,0,m_000,23.15,mastercard,,BR,d_24207
t_0052234,0,m_000,10.88,visa,,GB,d_21992
t_0052450,0,m_025,62.95,amex,,US,
t_0052477,0,m_031,156.75,amex,,GB,d_11317
t_0052678,0,m_039,11.67,amex,,US,d_24455
t_0052704,0,m_033,39.47,visa,,BR,d_9199
t_0053168,0,m_018,86.79,mastercard,,US,d_18924
t_0053245,0,m_004,20.49,amex,,CA,
t_0053249,0,m_000,56.1,amex,,GB,d_9208
t_0053342,0,m_004,18.33,mastercard,,DE,d_6919
t_0053471,0,m_000,10.69,visa,,CA,d_21762
t_0053587,0,m_026,9.01,mastercard,,BR,d_20052
t_0053650,0,m_000,20.89,visa,,US,d_16748
t_0054004,0,m_030,26.62,amex,,CA,d_3119
t_0054068,0,m_037,62.67,visa,,GB,d_17340
t_0054175,0,m_024,34.23,mastercard,,US,d_19606
t_0054182,0,m_005,53.48,mastercard,,DE,d_22023
t_0054289,0,m_036,140.07,amex,,BR,d_471
t_0054303,0,m_000,16.92,visa,,DE,d_12192
t_0054316,0,m_032,15.11,amex,,US,d_15363
t_0054354,0,m_026,58.56,amex,,GB,d_8726
t_0054456,0,m_039,205.73,mastercard,,GB,d_8747
t_0054535,0,m_033,23.91,amex,,GB,d_18006
t_0054785,0,m_031,429.62,amex,,US,d_7520
t_0054884,0,m_028,15.2,visa,,US,d_13300
t_0054890,0,m_000,116.73,mastercard,,BR,d_12507
t_0055050,0,m_000,20.64,mastercard,,DE,d_6592
t_0055152,0,m_011,138.84,amex,,US,
t_0055340,0,m_038,26.82,mastercard,,DE,d_13973
t_0055568,0,m_028,20.13,amex,,US,d_5186
t_0055971,0,m_007,287.13,amex,,BR,d_14302
t_0056226,0,m_002,110.22,visa,,CA,d_11809
t_0056270,0,m_012,17.24,amex,,CA,d_23807
t_0056750,0,m_022,2359.24,mastercard,,BR,d_9476
t_0056882,0,m_022,56.34,visa,,US,d_3354
t_0056934,0,m_022,20.58,mastercard,,US,d_11763
t_0056938,0,m_029,98.64,visa,,GB,d_4783
t_0057542,0,m_018,115.28,visa,,US,d_10676
t_0057605,0,m_023,7.73,amex,,CA,d_15760
t_0057643,0,m_039,27.12,mastercard,,US,
t_0057930,0,m_013,25.24,visa,,DE,d_18625
t_0057970,0,m_000,11.23,amex,,DE,d_3985
t_0058090,0,m_000,69.26,mastercard,,BR,d_127
t_0058276,0,m_015,98.2,mastercard,,BR,d_6920
t_0058289,0,m_031,28.16,visa,,US,d_3501
t_0058485,0,m_026,146.64,visa,,US,d_16559
t_0058545,0,m_009,13.06,amex,,US,d_3310
t_0058569,0,m_018,10.36,mastercard,,BR,
t_0058749,0,m_031,31.39,mastercard,,DE,d_8221
t_0059271,0,m_017,115.82,visa,,CA,d_7893
t_0059649,0,m_007,24.84,amex,,DE,d_21477
t_0059657,0,m_000,50.99,mastercard,,DE,d_24694
t_0059972,0,m_020,60.87,mastercard,,CA,d_18253
t_0059994,0,m_004,47.32,mastercard,,US,d_16648
t_0000089,1,m_002,71.8,amex,,GB,d_19090
t_0000276,1,m_028,13.69,amex,,GB,d_8055
t_0000283,1,m_035,4.17,amex,,US,d_7927
t_0000356,1,m_038,9.62,amex,,DE,d_20998
t_0000676,1,m_006,81.23,amex,,DE,d_10714
t_0001018,1,m_015,8.27,visa,,US,d_12121
t_0001147,1,m_029,5.62,mastercard,,US,d_4003
t_0001256,1,m_012,17.76,amex,,US,d_1066
t_0001304,1,m_001,16.57,mastercard,,US,d_15130
t_0001500,1,m_021,38.58,amex,,US,d_18067
t_0001667,1,m_000,52.24,mastercard,,GB,
t_0001671,1,m_037,213.32,mastercard,,CA,
t_0001950,1,m_000,141.82,visa,,US,d_11385
t_0001981,1,m_028,206.44,amex,,DE,d_8986
t_0002226,1,m_004,16.27,visa,,CA,d_21304
t_0002231,1,m_016,36.76,amex,,CA,d_17775
t_0002628,1,m_025,47.78,amex,,GB,d_16858
t_0002717,1,m_029,76.72,mastercard,,US,d_3285
t_0002720,1,m_031,22.01,visa,,US,d_18686
t_0002987,1,m_037,50.98,mastercard,,GB,d_17643
t_0003036,1,m_015,24.35,amex,,CA,d_14486
t_0003227,1,m_025,9.54,visa,,DE,d_821
t_0003366,1,m_023,6.56,visa,,CA,d_12209
t_0003748,1,m_000,15.99,amex,,US,d_3907
t_0003926,1,m_021,31.98,mastercard,,BR,d_12439
t_0004187,1,m_019,318.53,mastercard,,US,d_2132
t_0004507,1,m_027,136.25,mastercard,,BR,d_18772
t_0004871,1,m_033,196.29,visa,,US,d_21599
t_0004889,1,m_000,3.3,amex,,CA,d_17451
t_0004943,1,m_035,11.92,visa,,CA,d_20470
t_0005228,1,m_001,10.33,amex,,US,d_14814
t_0005296,1,m_000,21.2,mastercard,,BR,d_8713
t_0005455,1,m_011,260.52,amex,,GB,d_1183
t_0006002,1,m_039,183.22,visa,,CA,d_8127
t_0006049,1,m_024,4.36,visa,,US,d_24595
t_0006352,1,m_000,17.66,visa,,BR,d_23564
t_0006436,1,m_037,118.73,visa,,US,d_24022
t_0006904,1,m_015,37.88,mastercard,,US,d_19234
t_0007281,1,m_001,46.7,mastercard,,US,d_12765
t_0007312,1,m_020,63.88,mastercard,,BR,d_733
t_0007541,1,m_005,117.48,visa,,DE,d_7256
t_0007596,1,m_023,3.12,visa,,GB,d_4956
t_0008071,1,m_023,114.43,mastercard,,US,d_18670
t_0008192,1,m_037,85.33,amex,,US,d_22574
t_0008360,1,m_011,77.27,amex,,US,d_23286
t_0008577,1,m_021,36.2,amex,,US,d_14730
t_0008659,1,m_000,17.23,mastercard,,BR,d_3307
t_0008708,1,m_011,72.66,mastercard,,BR,d_3744
t_0008938,1,m_017,72.57,mastercard,,GB,d_2464
t_0008968,1,m_010,403.71,visa,,DE,d_13273
t_0009033,1,m_014,34.96,mastercard,,US,d_8686
t_0009888,1,m_009,22.48,visa,,DE,d_19562
t_0009925,1,m_006,26.26,mastercard,,CA,d_1370
